Time,Signal
293,819
294,858
295,735
296,589
297,469
298,373
299,297
300,235
301,188
302,149
303,206
304,359
305,484
306,585
307,669
308,736
309,790
310,833
311,847
312,681
313,544
314,433
315,344
316,274
317,218
318,173
319,138
320,265
321,407
322,523
323,618
324,695
325,757
326,807
327,847
328,782
329,627
330,500
331,398
332,316
333,251
334,200
335,159
336,157
337,320
338,452
339,560
340,647
341,719
342,776
343,823
344,860
345,724
346,578
347,462
348,367
349,291
350,232
351,184
352,147
353,220
354,371
355,494
356,594
357,675
358,741
359,794
360,837
361,831
362,667
363,533
364,425
365,337
366,267
367,213
368,169
369,135
370,278
371,418
372,532
373,625
374,701
375,761
376,811
377,851
378,768
379,616
380,492
381,391
382,311
383,246
384,196
385,156
386,170
387,330
388,462
389,567
390,653
391,723
392,780
393,826
394,863
395,710
396,568
397,453
398,360
399,285
400,227
401,180
402,144
403,233
404,382
405,502
406,601
407,681
408,746
409,798
410,840
411,817
412,655
413,524
414,417
415,331
416,263
417,209
418,166
419,132
420,290
421,428
422,540
423,631
424,706
425,765
426,814
427,853
428,757
429,606
430,484
431,384
432,306
433,243
434,193
435,154
436,186
437,343
438,471
439,575
440,659
441,728
442,784
443,829
444,865
445,698
446,559
447,445
448,354
449,281
450,223
451,177
452,142
453,246
454,392
455,511
456,608
457,687
458,750
459,801
460,843
461,802
462,644
463,514
464,409
465,325
466,258
467,205
468,163
469,128
470,301
471,438
472,547
473,638
474,710
475,770
476,817
477,856
478,742
479,594
480,475
481,378
482,300
483,238
484,189
485,150
486,200
487,354
488,480
489,583
490,666
491,733
492,788
493,833
494,855
495,685
496,548
497,437
498,347
499,275
500,219
501,174
502,138
503,259
504,402
505,520
506,615
507,692
508,755
509,805
510,846
511,789
512,632
513,506
514,402
515,320
516,253
517,202
518,160
519,148
520,314
521,448
522,556
523,644
524,716
525,774
526,821
527,859
528,729
529,583
530,465
531,370
532,293
533,233
534,185
535,147
536,214
537,365
538,489
539,590
540,672
541,738
542,792
543,836
544,839
545,674
546,538
547,428
548,340
549,270
550,215
551,171
552,136
553,271
554,412
555,527
556,621
557,697
558,759
559,809
560,849
561,775
562,621
563,496
564,394
565,313
566,249
567,198
568,158
569,165
570,325
571,457
572,563
573,651
574,721
575,778
576,824
577,862
578,716
579,572
580,457
581,363
582,288
583,229
584,182
585,145
586,226
587,376
588,498
589,597
590,678
591,743
592,797
593,839
594,824
595,661
596,528
597,420
598,335
599,266
600,212
601,168
602,134
603,284
604,423
605,536
606,628
607,703
608,764
609,813
610,852
611,761
612,610
613,487
614,387
615,308
616,245
617,194
618,155
619,178
620,337
621,466
622,571
623,657
624,726
625,782
626,827
627,864
628,703
629,563
630,448
631,356
632,283
633,225
634,179
635,143
636,238
637,386
638,506
639,604
640,683
641,747
642,799
643,841
644,810
645,651
646,520
647,414
648,329
649,260
650,207
651,165
652,130
653,296
654,432
655,544
656,635
657,708
658,768
659,816
660,855
661,749
662,600
663,479
664,380
665,302
666,240
667,191
668,151
669,193
670,349
671,475
672,578
673,663
674,731
675,786
676,831
677,866
678,691
679,553
680,440
681,350
682,277
683,221
684,176
685,140
686,251
687,397
688,514
689,611
690,689
691,752
692,804
693,844
694,796
695,638
696,511
697,406
698,323
699,256
700,204
701,162
702,125
703,306
704,442
705,551
706,641
707,713
708,772
709,819
710,857
711,735
712,588
713,470
714,373
715,296
716,236
717,187
718,149
719,207
720,360
721,484
722,586
723,669
724,736
725,790
726,834
727,848
728,679
729,544
730,432
731,344
732,273
733,217
734,173
735,138
736,265
737,407
738,524
739,618
740,695
741,757
742,807
743,847
744,782
745,628
746,502
747,399
748,317
749,252
750,200
751,159
752,157
753,319
754,451
755,559
756,647
757,718
758,776
759,822
760,860
761,723
762,578
763,461
764,367
765,290
766,231
767,184
768,146
769,220
770,369
771,493
772,593
773,675
774,741
775,794
776,837
777,831
778,667
779,533
780,425
781,337
782,268
783,213
784,169
785,135
786,278
787,418
788,532
789,625
790,700
791,761
792,810
793,850
794,768
795,615
796,492
797,392
798,311
799,247
800,196
801,156
802,172
803,331
804,462
805,568
806,653
807,723
808,780
809,826
810,863
811,709
812,569
813,453
814,360
815,285
816,228
817,181
818,144
819,233
820,381
821,502
822,601
823,681
824,745
825,798
826,841
827,817
828,655
829,524
830,417
831,331
832,263
833,209
834,166
835,132
836,290
837,428
838,540
839,632
840,705
841,765
842,814
843,853
844,755
845,605
846,483
847,384
848,305
849,242
850,193
851,153
852,186
853,343
854,469
855,575
856,660
857,729
858,784
859,829
860,865
861,699
862,559
863,445
864,354
865,282
866,223
867,177
868,141
869,246
870,392
871,511
872,608
873,687
874,750
875,801
876,843
877,802
878,644
879,514
880,409
881,325
882,258
883,205
884,163
885,128
886,302
887,438
888,548
889,638
890,711
891,770
892,818
893,856
894,742
895,594
896,475
897,378
898,299
899,238
900,189
901,151
902,200
903,354
904,480
905,582
906,666
907,734
908,788
909,832
910,867
911,687
912,549
913,437
914,347
915,276
916,219
917,174
918,139
919,259
920,403
921,520
922,615
923,692
924,754
925,805
926,846
927,789
928,634
929,506
930,402
931,320
932,254
933,202
934,161
935,149
936,314
937,447
938,556
939,643
940,716
941,773
942,821
943,859
944,731
945,585
946,467
947,371
948,295
949,235
950,186
951,148
952,213
953,365
954,489
955,590
956,672
957,738
958,792
959,834
960,839
961,673
962,538
963,429
964,341
965,271
966,215
967,171
968,136
969,271
970,413
971,528
972,621
973,698
974,759
975,809
976,849
977,775
978,621
979,496
980,394
981,313
982,249
983,198
984,158
985,162
986,326
987,456
988,563
989,650
990,721
991,778
992,824
993,861
994,716
995,573
996,457
997,364
998,288
999,229
1000,182
